Yorum;Kategori
Her yerde ATM sinin olmamasý iþlemlerimizi yapmakta zorlanýyoruz bir çözüm bulunmasýný istirham ederim;ATM
Öncelikle mobil uygulamanýn açýlma hýzý yavaþ (diðer banka mobil uygulamalarý çok faha hýzlý). Ayrýca bu sefer açýlýr mý diye korkarak giriyorum. Sýklýkla þifreleri girdiðim halde programý açmayabiliyor. Bir kaç ayda bir tamamen kitlendiði için yeniden mobil uygulamayý indirmek durumunda kalabiliyorum. Dolayýsý ile istediðim zaman hesabýma eriþip eriþemeyeceðimden emin olamýyorum. Bu baðlamda Kuveyt Türk’ün mobil uygulamasý örnek alýnabilir…;Yavaþ
MOBÝL UYGULAMASI YAVAÞ HEM BÝRAZ DAHA RAHAT VE ULAÞILABÝLÝR OLMALI;Yavaþ
Uygulama donuyor defalarca hata veriyor bazen neredeyse hiç giriþ yapamýyoruz iþlem yaparken sürekli hata veriyor;Çalýþmýyor - Hata Veriyor
Pratik deðil ayrýca her seferinde pin kodu istiyor zaman kaybý;Kullanýþsýz
Güvenlik gerekçeleriyle arka planda sürekli programdan atmasý, EFT havale gibi iþlemlerde hakeza ayný þekilde programdan atýyor. Yatarým hesaplarýnda hareket esnasýnda kur deðiþikliði diye hata verip yine programdan atýyor.;Aþýrý Güvenlik
Baþvurularý geç cevap verince;Kart
Þube uzakta;Þube
uygulama çok yavaþ sizin gibi bankanýnda anasýný sikiyim;Yavaþ
"Çok kalitesiz bir uygulamanýz var.
Müþteri hizmetleriniz çok kalitesiz, baðlanamýyorum, gerekli þubenin numarasýný arayýp ulaþamýyorum, Albarakayý hiç sevmiyorum, çok kalitesizsiniz..";Kullanýþsýz
"Mobil þube karýþýk bir yapýsý var.
Kuveyt Türk mobil gibi kullanmasý kolay olabilir";Kullanýþsýz
Kullanýþlý bir uygulama deðil;Kullanýþsýz
Siteye eriþim zaman alýyor.Bazý durumda bayaðý beklemek gerekiyor.Bu telefon cihazýndan kaynaklanmýyor.Çünkü baþka bankayada baðlanýyorum.;Yavaþ
"Hiç memenun deðilim sizden 
Herseyiniz yavaþ";Yavaþ
Site çok yavaþ deli ediyor;Yavaþ
Mobil kurumsal þubede her eft de pin giriþten sonra hata alýnýyor ve program kilitleniyor sonra tekrar kapatýp açýnca iþlem yapýlýyor, buna benzer pek çok hata…;Aþýrý Güvenlik
Müþteri temsilcilerinizin yaklaþýmlarýný çok itici buluyorum. Özellikle Kayseri þubesi giriþteki personelinizi;Personel
Ne zaman eft havale yapamak istesem sistemden bir hata oluþtu hatasi veriyor;Çalýþmýyor - Hata Veriyor
Hep geriden geliyor;Genel Memnuniyetsizlik
çünkü hizmette çok yetermiþsiniz;Genel Memnuniyetsizlik
Hýzlý deðil ayrýca dahada kýsa yoldan iþlem  seçeneði birde ATM den mobilden kartsýz para yatýrma yapamadým;Yavaþ
"Memnun deyiliz
Çünkü atmeniz heryerdeyok";ATM
Vodafone Net faturami ödeyemedim kurum cikmiyor;Fonksiyon Eksikliði
Ýþlemleri yaparken müþterinize sormadan yapýyorsunuz.Örneðin kurkorumalýda yetkiyi onay almadan kendinize göre ayarlamýþsýnuz;Bilgilendirme Eksikliði
GÝRÝÞLERDE AÐIR VE ÝÞLEM YAPARKEN HATA VERÝYO;Çalýþmýyor - Hata Veriyor
Banka mobil yazýlýmý güvenliði yeterli deðil. Dolandýrýcýlýða açýk. Ayrýca siber dolandýrýcýlýk olduðunda müþteriye geri bildirim ve bilgi verme diye bir þey yok.;Mobil
Diðer bankalar dan sorunsuz kredi kartý ve limit yukselimi kolayca yaparken sizin tarafinizdan 1 hafta onay süreci bekletip red yedim maaþ müþterisi olmama ragmen;Kart
Uygulama Çok yavaþ;Yavaþ
Ýþlemler cok yavas ilerliyor , bununla beraber kac gundur hisse senedi alamiyorum surekli islem gerceklesmiyor;Yavaþ
Þubelerde çok bekliyoruz;Þube
Þikayetim elaman ve elamanlarýn yetersizliði.;Personel
Mobil iþlem çok yavaþ yatýrým iþlemeleri kýsýtlý güncel deðil;Yavaþ
Çalýþmasý kotu;Kullanýþsýz
Kredi karti taksit yapmiyor;Kart
Ýnternet bankaciligindan yapýlabilen bagis ödemeleri mobilde yok.;Fonksiyon Eksikliði
Rezil mobil þube. Girmek ayrý bir dert iþlem yapmak ayrý Bi dert. 3 gün boyunca anlatabilirim o kadar berbat;Kullanýþsýz
Sebebi var;Genel Memnuniyetsizlik
Bazý hizmetler net deyil;Genel Memnuniyetsizlik
Mobil subeniz rezalet. Kullanir iseniz sizde ne demek istedgimi anlarsiniz;Kullanýþsýz
Yüz tanýma ile giriþ yapýp þifre ile berbat para gönderimi saçmalýðý Berbat sýrf bu yüzden kýsa süre sonra sizinle çalýþmayý düþünmüyorum;Yavaþ
SUBENIN AZLIGI;Þube
eft limiti ve artýrma yapmamaniz çok ama çok can sikici;Fonksiyon Eksikliði
Paracekmede sýkýntý yaþýyoruz  mantýk ballarýnýz yeterli deyil  mesala  100yil  dayik her bankanýn var sizinyok;Çalýþmýyor - Hata Veriyor
Dün yani pazar günü Erdek  Ocaklarda bir türlü para transferi yapamadým.Her denememde sistemde bir problem oluþtuðunu söyledi.Sonrasýnda da her zaman girdiðim cihazýmý tanýmayýp tanýmlamam gerektiðini söyledi.0850 li numarayý arayarak cihaz tanýtma seansýndan sonra ancak iþlem yapabildim.Para göndereceðim kiþiye karþý mahcubiyetim ayrý kaybettiðimiz zaman ayrý.Bý sebepten verdiðim puan fazla bile.;Çalýþmýyor - Hata Veriyor
Internet subenizde yapilabilen bazý islemler mobil subenizde yok;Fonksiyon Eksikliði
Eksiklik çok;Fonksiyon Eksikliði
Esenler Þube berbat 26 yýllýk müþteri yim son iki yýldýr bankadan soðuttular beni.;Þube
Aðýr vasat 5 para etmez ayrýca borsa iþlemlerinde sizin kadar yüksek komisyon alan baþka banka yok rezalet;Yavaþ
.;Genel Memnuniyetsizlik
Daha önce çalýþtýðým Katýlým Bankasý mobil bankacýlýðý daha kapsamlý daha aydýnlatýcýydý þube personellerine bunu defalarca dile getirdim mesela þirket hesabýmýzda takasa çek býraktýðýmýzda çeklerimizi takip edebiliyoruz Siz de bu yok defalarca söyledim Ayrýca mobil bankacýlýk giriþ süreciniz nedense sürekli bir donma hesaptan geriye atma programdan sürekli böyle bir hata veriyor ilgilenip düzeltmeniz izin ve müþterileriniz açýsýndan Ýyi olacaktýr diye düþünüyorum;Çalýþmýyor - Hata Veriyor
Uygulama çok komplatif bir þey yapmaya çalýþmak gerçekten eziyet oluyor.;Çalýþmýyor - Hata Veriyor
Mobil subenizin kullanýmý zor ve çok sýk donmalar ve kitlenmeler oluyor yenibir ara yüze ihtiyaç var baþka marka bankalarýn çok daha kolay ve kapsamlý Kuveyt Türk, zýraat gibi bunlarý incelemenizi tavsiye ederim;Kullanýþsýz
"Mesela, mobilden günlük eft limitini yükseltmek istiyorsun, asistan internet bankalýðýna gir, þunu þunu yap diyor.
Ýnternet bankcýlýðýna giriyorsun, 0850....666 yý ara yada þubeden yap diyor,
Arýyorsun, kimlik sorgulama dahi yapmadan müþteri hizmetine baðlanýyor ama eft limit yükseltmeyi þubeden yap diyor.

Ýþlem yönlendirmeleri çeliþiyor.";Fonksiyon Eksikliði
Mobil bankacýlýktan kredi veya kredi kartý baþvurusu yapamýyorum;Fonksiyon Eksikliði
Bu ankete nekadar meraklýsýnýz;Genel Memnuniyetsizlik
Mobil uygulama çok yavaþ çalýþýyor... hesaba girmek ve çýkmak çok zaman alýyor....;Mobil
Daha iyi olabilir;Genel Memnuniyetsizlik
Programa girerken çok yavaþ, bu kötü;Yavaþ
Çoðu iþlemde yetersiz;Fonksiyon Eksikliði
Mobil þube kullanýmý pratik deðil.karmaþýk;Kullanýþsýz
Çok yavaþ ve yenilenmesi lazým;Yavaþ
Ýnternet alýþveriþi sistemi kötü;Kullanýþsýz
Program biraz hantal hemen acilmiyor;Yavaþ
Endüþük olduðu için;Genel Memnuniyetsizlik
Mobýl þube çok aþýrý derece yavas acýlýyor internet kaynaklý deðil ve býrkac fatura ödedýkten sonra devamlý hata verýyor sürekli hata takýlýyor açmýyor ogün faturanýn son ödeme günü olabýlýyor neyazýkki oyuzden bu puaný verdim hýzlandýrýrsanýz orun çözülür;Yavaþ
Hiç;Genel Memnuniyetsizlik
Arayüz daha iyi, kullanýþý daha rahat olabilir.;Kullanýþsýz
Uygulamada (mobil) eksiklikler var.;Fonksiyon Eksikliði
Vasat bir hizmet;Genel Memnuniyetsizlik
çok yavaþ;Yavaþ
Komisyon ucreti cok fazlaa;Ücret Alýnmasý
Ben sizin bankaya kur korumalý mevduata para yatýrdým banka çalýþaný diðer bankalar 100 bin tl için3 aylýk  3900-4000 tl faiz derken sizin banka 4500 tl kar payý dedi bende yatýrdým ama denilen 3800 bile alamadým ben nasýl tavsiye edeyim þimdi;Genel Memnuniyetsizlik
Bankamatiðiniz az. PTT çüzi bir para kesiyor;ATM
Mobil çok yavaþ;Yavaþ
Mobil bankacýlýk sürekli donuyor ve çalýþmýyor loðin 3 diye bir þey yazýyor yazýlýmý çok kötü;Çalýþmýyor - Hata Veriyor
Ben daha dinamik bir yapý bekliyordum.;Kullanýþsýz
Web ve mobil uygulama arasýnda kullaným farklýlýklarý var, web kullanýmý daha kullanýþlý;Kullanýþsýz
Fast sistemiyle para gönderme gün içerisinde para transferi gibi kolay olmalý;Kullanýþsýz
Sevmiyorum sizin mobil sb.;Kullanýþsýz
Mobil internet çok yavaþ. Ýþlem bilgisi ve çeþitliliði yeterli deðil. Daha çok borsa yatýrým kýsmýnda hisse genel veya günlük kazanç veya kayýp pranlarý vb. Ýþlemler bilgi açýsýndan yeteri deðil hesap makinasý kullanmamýzý gerektireçek boyutta malesef çok sade;Yavaþ
Ýþlemler daha hýzlý hale getirilebilir;Yavaþ
Bir kere Hadýmköy þubesi ile çalýþýyorum fakat yoðunluktan dolayý iþlemler çok yavaþ ilerliyor bu personelin oradaki azlýðýndan meydana geliyor yoksa Oradaki çocuklar çalýþýyor Herhangi bir sýkýntý yok ama kiþiye bir adam koymuþlar ve gelen müþterilerinin %50'si yabancý ve iþlemler inanýlmaz uzun sürüyor O yüzden þikayetçiyim;Þube
Altýn gram alýþ satýþýnda ki makas aralýðý fazla geliyor uyðun makas aralýðý yaparsanýz memnun olurum;Kur Marjý
Uygulama çok yavaþ acil para göndermem gerektiðinde þifre girince çok bekliyorum geç giriyor;Yavaþ
"Kullanimi zor ve karmaþik 
Dolar aktarma ,yatirma yok";Kullanýþsýz
"Banka iþlemlerindeki prosedürler ve mobil bankacýlýktaki inanýlmaz yavaþlýk.
Birde bankamatikten ne zaman para çektiysem tamamý yirmi TL lik banknot küfür  gibi  bu ne yaaa";Yavaþ
Dizitel bankacýlýk hizmeti daha anlaþýla bilir daha pýratik  biz yaþlýlarýn daha kolay kullana bileceyimiz þekilde olmasýný saðlaya bilirsiniz diye düþünüyorum;Kullanýþsýz
belirgin;Genel Memnuniyetsizlik
iyi;Genel Memnuniyetsizlik
Sistem bir anda atýyor veya þuanda hizmet veremiyoruz daha sonra tekrar deneyiniz diyor;Çalýþmýyor - Hata Veriyor
Normal hizmet aliyorum internet subeciligi cok yavaþ;Yavaþ
Floria þubesi, bir dolar tutarý yatýrýrken ücret alma konusunda iþbirliði yapmýyor;Çalýþmýyor - Hata Veriyor
Para çekmek için çok fazla merkez yok;Çalýþmýyor - Hata Veriyor
Bizde þubeniz olmamasý için;Genel Memnuniyetsizlik
Para yatýrma zorluðu ve çok fazla bankamatik olmamasý;Çalýþmýyor - Hata Veriyor
"Mobil subeniz çok aðýr açýlýyor ve aðýr iþliyor seri deðil 
Bide Fast ile para göndermeyi iyileþtirmeniz lazým
Kayýtlý iþlemlerde Fast ile gönderemiyorum 
Ibani kayýt edecek Fast ile göndermeye girecem uzun iþ
Diðer kullandýðým bankanýn kayýtlý iþlemlerde Fast miktarýnda ise direk gönderiyor limitin üstünde ise kabul etmiyor";ATM
Sokakta Al Baraka Bank'a ait makine neden yok, diðer bankalar için makinelerden para çekmek zorunda kalýyoruz ve bu çok pahalý, ikincisi döviz tasarrufu yapmak istiyoruz ve siz bunu kabul etmiyorsunuz.;Çalýþmýyor - Hata Veriyor
çok yavaþ;Genel Memnuniyetsizlik
Karmaþýk ve zor;Kullanýþsýz
"Herþeye ulaþamýyorum
Mesela þahsi çekimi sorgulama yapamýyorum takas durumunu";ATM
Ýslem yaparken 3 defa hata verdi. Hesaplarim gözükmedi. Yaptigim transfer hemen yansimadi hesaplarima. Transferler cok yavas gerceklesti;Çalýþmýyor - Hata Veriyor
"Para transferde mobil olmaksýzýn direk bankadan baþka bankaya havalede çok para isteniyor.örnek 50000 ? için baþka banka ya 
Yaklaþýk ~600? isteniyor.";Genel Memnuniyetsizlik
Mobil þubeye giriþ yaptýðýmda menünün gelmesi çok uzun sürüyor. Bugün 5 dakika bekledim ve ekran yoktu bu sebepten ankete katýldým. Çalýþtýðým bankalar arasýnda ( katýlým bankasý ) en vasat uyguma bu. Taklit yapýn söylemiyorum Albaraka olarak en iyisini yapabilirsiniz ve bu sizin müþterilerinize en önemli kolaylýk olur. Uygulamaya geç girme ve uygulamadan atýlma bir türlü çözülemedi.;Kullanýþsýz
Muhatabým yok;Genel Memnuniyetsizlik
Diger mobil uygulamalarindan daha zayif ,gorsellik sifir bide havale ucreti almiyom diyosun fast  havalesi olunca 12 tl havale aliyosunuz kazik yani;Çalýþmýyor - Hata Veriyor
Finansman hesaplarýna kolay eriþim yok;Genel Memnuniyetsizlik
0;Genel Memnuniyetsizlik
Dolar yatýrmak zordur ve komisyon gerektirir.. Diðer bankalarla uðraþýrým, Al Baraka'dan daha kolaydýr, hisse senedi alým satýmý da, sizinle sýk sýk görüþmeme raðmen etkinleþtiremedim.;Çalýþmýyor - Hata Veriyor
Sayýn yetkili ben banka.nýzda hesap açtýðým günden beri hesabýma düzenli olarak kira gelirlerim yatmakta kredi kartýna baþvuru yaptým bana iki bin TL limitli kredi kartý vereceklermiþ hesabýndaki paraya iki bin TL bloka koyarak benim parama bloka koyduktan sonra kredi kartýna ne gerek var bizde baþka bankada hesap açarýz bilginize sunulur;Fonksiyon Eksikliði
Geliþmemiþ ve hýzlý deðil;Genel Memnuniyetsizlik
Mobil programi çalýþmasý beðenmedim;Çalýþmýyor - Hata Veriyor
Bir dolar koydum, kollarýný açarak alýyorlar, bir dolar istiyorum, dolarýmýz yok diyorlar, geçen ay 5'ten fazla istedim ve reddettiler ve bu sýrada iþim durdu. bugün hesabým seninle sýfýr.;Çalýþmýyor - Hata Veriyor
Mobil þube çok geç açýlýyor yani tlf kayýtlý en az 10 mobil þubenin en geç açilani bu konunun çözüme kavuþmasýný talep ediyorum;Yavaþ
"Oldukça sýk olarak
Þifre girdikten sonra uygulama ekrandan kayboluyor tekrar girmek zorunda kalýyorum 
Bir iþlem yaparken (havale döviz alýmý gibi) tüm iþlem adýmlarý bitikten sonra þu an iþleminizi yapamýyoruz diye bir mesaj geliyor. O iþleme baþlarken bu mesaj gelse o kadar sýkýntý vermeyebilir ama son aþamada olmasý sýkýntý verici";Yavaþ
Uygulama calismiyor ilk giris bir dakika suruyor;Çalýþmýyor - Hata Veriyor
Mobil þubenin kullanýmý zor aðýr çalýþýyor. Hýzlý ödemeler menüsündeki kayýtlý iþlemler siliniyor;Yavaþ
Ýþlemler çok yavaþ ilerliyor. Baðlantý geç kuruluyor. Seri olarak iþlem yapýlamýyor her zaman;Yavaþ
Bazen sisteme geç giriþ yapmaaa;Çalýþmýyor - Hata Veriyor
..;Genel Memnuniyetsizlik
Uygulama oldukça yavaþ;Genel Memnuniyetsizlik
Kolay çözüm odaðý yok;Fonksiyon Eksikliði
Memnun deðilim internetten bilet alýrken her defasýnda sýkýntý yaþýyorum diðer bankalardan alýrken böyle bý sýkýntý olmuyor;Çalýþmýyor - Hata Veriyor
Kredi kartý vermediniz bir kredi vermediniz hiç bir, zaman yardýmcý olmadýnýz;Kart
Bir servis temsilcisine ulaþmak çok karmaþýk, hatalarla dolu ve uzun zaman alýyor;Çalýþmýyor - Hata Veriyor
Türkiye'de Viyana'da kredi kartý alýyoruz ve Al-Baraka dýþýnda herhangi bir bankada kredi kartý alýyoruz.Sadece karmaþýk konularda verilir.;Çalýþmýyor - Hata Veriyor
Mobil þubeye giriþ çok geç oluyor;Yavaþ
Selamün Aleyküm Al Baraka Bank dýþýnda baþka bir bankaya dolar transferi yapmak istesem yapamýyorum. Bu bir sorun olarak kabul edilir. Teþekkür ederim .;Çalýþmýyor - Hata Veriyor
Çok eksikler var;Fonksiyon Eksikliði
Güvenlik görevlisi hakaret ve aþalayýcý müdahalesi niçin kartýmla numara aldým sýra benden sonra gelen müþterileri alýyorsunuz dediðim için güvenlik görevlisi o þubeden ayrýlana kadar Albaraka nýn hiç bir zaman irtibata geçmiyecegim;Çalýþmýyor - Hata Veriyor
kötü arayüz, yavaþ hizmet;Yavaþ
Yaptýðým iþlemlerden dolayi;Fonksiyon Eksikliði
Diðer bankalara göre bazý hizmetlerde hala gecikme yaþanýyor.;Çalýþmýyor - Hata Veriyor
Borç kartý desteðinin olmamasý, kartýn uygulamadan görünmemesi, borç kartý desteðinin yeterli olmamasý ve ayrýca herhangi bir þey aranacak alanýn olmamasý gibi birçok sorunu yoktur.;Çalýþmýyor - Hata Veriyor
Mobil sistem berbat;Kullanýþsýz
Hizmette sýfýr mobil banka donuyor sistemde aðýrlýk hep oluyor;Çalýþmýyor - Hata Veriyor
Ýlgi alakalarý gayet samimi yakýn ilgilendiler sagoldunlar;Fonksiyon Eksikliði
Kartý almama sorunu yaþadým. Þube bana aramam için bir telefon numarasý verdi. Birkaç kez aradým ve personelin iliþkileri olumsuzdu ve bir çözüm bulamadým.Ta ki bir keresinde Ýsmail adýnda bir çalýþan bana cevap verdi ve iliþkileri harikaydý ve sorunumu çeyrek saat içinde çözmek için benimle devam etti. . Bu tür çalýþanlarla, kendisine saygý duymakla birlikte, bankanýzýn yüksek bir seviyeye çýkacaðýný düþünüyorum.;Çalýþmýyor - Hata Veriyor
Kullanýmý diðer bankalara göre daha karmaþýk.;Kullanýþsýz
Malesef Mobil kullanýmý konusunda diðer hizmetlere göre çok problemli .;Genel Memnuniyetsizlik
"1- ??????? ???? ?????? ???? ?????? ???? ????? 
2- ??????? ?? ???? ???? ??????? ??? ?? ???? ??????. 
3- ???? ????? ??????? ?? ?????? ??? ??? ???? ????? ???? ??? ??? ?? ?????? ???? ?? ??? ?? ???? ?????? ???? ???? ?? ?? ???? ?? ??????? ??????????? ?? ??????? ???????? ?? ??????? ?? ??????? 
??? ????? ???? ?? ??? ??????? ?? ???? ??????? ?? ???? ????? ?? ???? ??? ????? ?? ???????? ?????? ???? ?? ???? ??? ?????? ?? ?? ???? 
??? ?????  ????? ???? ????? ???? ??? ?????";Çalýþmýyor - Hata Veriyor
"Yavaþ ve kullanýmý zor, daha basit olmalý,
Örneðin C/Hs. Hareketlerinizi görmeniz sýkýntýlý, Kuveyt Türkün hesap hareketlerini bir görmenizi tavsiye ediyorum";Genel Memnuniyetsizlik
20 yillik musterisiyim kredi kart limiti 5000 tl yillardir artirmiyor;Kart
Þehirde baþka ATM si yok.;ATM
Sistem hata veriyor sürekli;Çalýþmýyor - Hata Veriyor
Çok aðýr çalýþýyor, ara yüzde uzun süre bekleme yapýyor.Bazen uygulamadan çýkýlmýyor.Saygýlar.;Yavaþ
mobil uygulamaya girerken sürekli baglanma sorunu yaþýyorum kuveyt turk ve diger bankalarin uygulamalarinida kullaniyorum sizinki gercekten rezalet (telefon iphone 11);Çalýþmýyor - Hata Veriyor
Hafta sonlarý para transferi yapamýyorum;Çalýþmýyor - Hata Veriyor
Selamün aleyküm çalýþanlar ve yönetici çok saygýlý ve seçkinler ama bankanýn kanunlarýnýn deðiþmesi gerekiyor mesela önceden haber vermeden imza sükisi süresinin dolmasý nedeniyle transfer yapamýyorum bu da bizi aksatmaya sebep oldu iþimiz ve transfer yapamamamýz ve ayrýca murabaha fiyatlarýnýn çok yüksek olmasý ve mobil uygulamanýn biraz karmaþýk olmasý nedeniyle kredi alamadýk.;Çalýþmýyor - Hata Veriyor
PERSONELLERINIZE ISTEDIGIMIZ ZAMAN ULASAMAMAK TALEPLERIMIZIN KARSILANMAMASI;Çalýþmýyor - Hata Veriyor
Hiç hýzlý deðil;Yavaþ
Çok berbat bir mobil proðramýnýz var çok acil geliþtirilmesi ve hýzlandýrýlmasý lazým;Yavaþ
teþekkür ederim;Genel Memnuniyetsizlik
Dün bi eft yapmak istedim günlük limit yetersiz dedi form doldurup merkeze yolladim imza uygun deðil dedi sonra bankadan eft yaptýlar 170tl havale parasý kestiler kesinlikle hakkýmý helal etmiyorum saygýlar;Fonksiyon Eksikliði
Birincisi, Sefaköy þubesinde Türkçe bilmeyen biri olarak bana yönelik muamele ýrkçý. Ýkincisi, elektronik bankacýlýk sistemi, yani telefon çoðu durumda yanýt vermiyor. Üçüncüsü, havale sistemi zayýf ve gereksinimleri karþýlamýyor. amaç, örneðin Cumartesi ve Pazar günleri baþka bir bankaya havale yapýlmamaktadýr.Dördüncüsü, banka dýþýnda bir kiþiye kolay dolar havale sistemi yoktur. Beþincisi, az sayýda þube ve ATM. Mesela bir gün Sefaköy þubesine gittiðimde yaþlý ve prostat hastasýydým banyo istemiþtim üzerime iþemek üzereydim bankada olan bu kiþileri geri çevirdiler. Türkçe bilenler için özel laboratuvarlar ve geri kalaný;Çalýþmýyor - Hata Veriyor
Ýþletmede karttan ödeme yaparken bir çok sorunun ard arda oluþmasý ve bu sebepten  deðerli zamanýmdan çalýnmasý.;Kullanýþsýz
Memnun deðilim;Genel Memnuniyetsizlik
Kayýtlý olan ibanlara eft lerde bile pin sorulmasý çok gereksiz. Mobil uygulama pratikliktir.;Kullanýþsýz
.;Genel Memnuniyetsizlik
Hesapdan para kesiliyor bildirim gelmedi;Kart
EFT ve havale gönderilmelerinde hata veriyor.;Çalýþmýyor - Hata Veriyor
bulunduðum yerde þube yok;Genel Memnuniyetsizlik
Mobil uygulama donuyor. Defalarca giriþ yapma teþebbüsünden sonra baþarýlý olabiliyorum;Çalýþmýyor - Hata Veriyor
Yetersiz iþlem;Fonksiyon Eksikliði
Ýlgi ve konuþmalarý çok kötü.;Kullanýþsýz
ATM'lerin bol miktarda bulunmamasý;Genel Memnuniyetsizlik
Bu anketi 3 gün önce doldurdum yine gönderildi. Bilgi iþlem departmaný nasýl savruk çalýþýyorsa mobil þube bu tarzda çalýþýyor. Kötü! Donma, hata mesajý vd. Sürekli iþlemleri geç algýlama vs. KULLANICI DOSTU DEÐÝL;Yavaþ
Sýfýr;Genel Memnuniyetsizlik
çok güzel;Genel Memnuniyetsizlik
Kredi kartý her zaman sebepsiz bir þekilde durdurulur.;Çalýþmýyor - Hata Veriyor
çok kalabalýk oldu;Genel Memnuniyetsizlik
Çünkü banka resmi internet sitesinde belirtilen kanunlarý ihlal etmektedir. Ve hakkýný talep ettiðinde daima müþteriye karþý;Çalýþmýyor - Hata Veriyor
Pazartesi günleri mobil giriþ zooor;Kullanýþsýz
Ýlgisizlik;Ýlgisizlik
Altin hesabý açamýyoruz.  Çünkü altin hesabýndan fiziki altin cekemiyoruz. Böyle olunca sizinle çalýþmamýza cevap vermiyorlar;Kur Marjý
Uygulama ile ilgili bazý komplikasyonlar var;Genel Memnuniyetsizlik
Çok hantal kredi kartý baþvurusu yapmýyor;Kart
Döviz alým satým makaslarý ve hisse senedi iþlem komisyonu yüksek;Kur Marjý
Türkçe olmadan satýn alamam;Genel Memnuniyetsizlik
Bir çok iþlemler yapýlamýyor banka kartlarýný yönetme yurt dýþýna para gönderme vs;Kart
Yýllardýr aktif hesabýmýz var 6.000 tl lik bile kredi kartý tahsis edemiyorsunuz;Genel Memnuniyetsizlik
Mobil bankacýlýk yavaþ,sistem karýþýk,pratik deðil;Kullanýþsýz
Baþka banka kartýna para yatýrýp hýzlý iþlemlere kayded diyor ama kaydedmiyor… bide sisteminiz cok yavaþ;Yavaþ
"Çok yavaþ ve iþlem sayýsý az
Dolar almak istedim zaman süre aþýmý dedi 
Üç kez denedim olmadý paramý diðer bankaya havale yaptým
Havale ücreti olmamasý tek güzel özellik";Çalýþmýyor - Hata Veriyor
Mobil þube kullanýmý çok kötü, bankanýn müþteri hizmeti çok zayýf;Fonksiyon Eksikliði
Mobil dahada gelistirin fatura odemelerde Vodafone net yok;Fonksiyon Eksikliði
Yavaþ uygulama daha hýzlandýrýlabilir;Yavaþ
Mobil bankacýlýkta yardým amaçlý soru sorduðumuz asistanýn bize yardým etmemesi veya farklý cevaplar sunmasý.;Fonksiyon Eksikliði
Bankanýz üzerinden yatýrým hesabý actýnýz, iþ ve iþlemler de sýkýntý yaþadým. Bizi BMD yem ettiniz.  Bu nedenle bankanýza güvenemedim.;Yavaþ
Saðlýk çok iyi Allaha þükür;Genel Memnuniyetsizlik
Cok fazla yardimci olunmuyor;Genel Memnuniyetsizlik
Kötü banka Esenyurt meydanýnda oturuyorum para çekme ve yatýrma bankasý yok en yakýn kumbara eski belediyede. 2.Kart için kredi kartý istiyorum her 1.000 lira için 1.200 almak istiyorlar;Çalýþmýyor - Hata Veriyor
Ýyi hizmetler deðil;Genel Memnuniyetsizlik
Kuveyt Türk te 7 gün 24 saat ücretsiz EFT var sizde yok çok paragöz bir kurumsunuz yýllar önce bes hesabý açtýrýrken benden katýlým parasý kesmiþtiniz hala unutmadým bütün paramý artýk baþka yerde tutuyorum;ATM
Maaþ müþterisi ol mama raðmen gecen senenin askeri ücret 5.500 ken benim net yatan maaþ beli ücretin 9.500 arasý olmasýna raðmen albaraka Ýnternet uygulamasýn dan ihtiyaç kredisine baþ vurdum da bankaya gitmemi söylüyor Ýnternet bankacýlýk ýnda bu kadar basit bir uygulamayý hallede miceksem neden mobil bankacýlýk hangi hizmet için var. YAPMIÞ OLDUÐUNUZ HÝZMETLERÝ GELÝÞTÝRMENÝZ DÝLEÐÝ ÝLE...;Fonksiyon Eksikliði
yolunda gitmeyen þeyler var;Genel Memnuniyetsizlik
Program yavaþlýyor;Genel Memnuniyetsizlik
Açýlþta çok bekletiyor. Para transferle rinde iþlem bir sefer de hallolmuyor, þu anda sistemimþzde bþr hata oluþtu diyor. Çok kullanýþlý bulmuyorum;Yavaþ
sisteminiz çok yavaþ,;Yavaþ
Karmaþýk, kullanýmý kolay deðil;Genel Memnuniyetsizlik
Sorun çözmüyor;Çalýþmýyor - Hata Veriyor
hayýr;Genel Memnuniyetsizlik
Kurlar da makas farký çok yuksek arkadaþým in albaraka uygulamasýndaki farkla benimki çok farklý;Kur Marjý
Allah baþarý versin Al Baraka Bank'lýyým %100 %100;Çalýþmýyor - Hata Veriyor
Sistem  çok  çok  yavaþ;Yavaþ
uygulamanýz karýþýk ve kötü iç tasarýmý var, iþlem ana sayfasýnýn ortasýnda kredi kartý banner reklamý var, memnun deðilim, maaþ yattýðý için mecburum;Kullanýþsýz
Çoðu zaman bir tutarý çekmek istediðimde ikinci güne erteleniyor.;Çalýþmýyor - Hata Veriyor
Dün bütün gün size ulaþmaya çalýþtým ama nafile ki sýrf size çabuk ulaþabiliyorum diye çalýþýyorum sizinle !;Çalýþmýyor - Hata Veriyor
peki yeni tamam;Genel Memnuniyetsizlik
Kullanýþsýz;Kullanýþsýz
"Mobýlden fon alýyordum RBV para miktarýný giriyordum altýndaki satýrdada adeti otomatýk kendý ayarlýyordu,

güncelleme gelmiþ ,þimdi paramizi fon ücretýne kendýmýz bölüyoz öyle alabýlýyoz yaný hesap makinasý taþiyacaz,býlgý iþlemcilerinizi ve yazýlýmcýlarýnýzý kýnýyorum.";Çalýþmýyor - Hata Veriyor
