Yorum;Kategori
Az sayýda atm var sýkýntý yasiyoz;ATM Sayýsý Yetersiz
Günlük çekim limiti düþük;Para Çekme Limiti Yetersiz
Yetersiz atm sayýsý;ATM Sayýsý Yetersiz
"ATM’ler cok azdir  
Bulabildiysen sanslisin 
Calisyorsa daha sanslisin 
Daha atmler kurulmali";ATM Sayýsý Yetersiz
Dün akþam 10 dakika para yatýrmak için uðraþtým;Kullanýþsýz
"Atm hizmetinizden yararlanamýyorum
Atm nizi hiç bir yeree bulamýyorum";ATM Sayýsý Yetersiz
Yüksek para çekince þifre istiyor bu hoþ deðil;Aþýrý Güvenlik
Sizin ATMnizi bulmak Mars a gitmekten daha zor.;ATM Sayýsý Yetersiz
QR kodu çoðunda okunmuyor ya da çok geç algýlýyor.;QR
Çok az yerde atm var buda iþimizi zorlaþtýriyor;ATM Sayýsý Yetersiz
Az ATM sayýsý,sistemin yeni ATM lerle oluþturulmamasý .;ATM Sayýsý Yetersiz
zaman zaman hizmet vermiyor. Bazen nakit vermiyor.;Çalýþmýyor - Hata Veriyor
Para çekme limiti çok düþük;Para Çekme Limiti Yetersiz
Nakit çekme limitiniz çok düþük;Para Çekme Limiti Yetersiz
Diger bankalarýn gerisindesiniz;Genel Memnuniyetsizlik
Avantajlarini göremedim;Genel Memnuniyetsizlik
Çok yavaþ iþliyor çekim limiti az 5000 altýnda olmamalý;Yavaþ
ATM yavaþ islem yapiyor;Yavaþ
Her yerde bulamýyor;ATM Sayýsý Yetersiz
Cogu noktada atmniz yok atm lerinize ulasmak bizim icin bayagi lüks ve zor diger banka atm lerine göre atm leriniz yaygin degil;ATM Sayýsý Yetersiz
Atm sayýsý çok kýsýtlý. Para çekmek için km lerce yol gitmek gerekli..;ATM Sayýsý Yetersiz
Ilcemizde albaraka atm si bulunmamakta;ATM Sayýsý Yetersiz
Kartýma blko konunuldu;Kartý Yutmasý
Atm daha geliþtirimesi gerek;Kullanýþsýz
Sisteminiz çok yavaþ;Yavaþ
"Hiçbir yerde ATM'niz yok 
anlaþmalý olduðunuz PTT'nin de çoðu ATM'si bozuk. Diðer katýlým bankalarý gibi YapýKredi ya da popüler bir bankayla ATM anlaþmasý yapabilirsiniz.
Ya da katýlým bankalarý olarak birlik olup KATILIM ATM'yi kurabilirsiniz. Böylece ATM masrafý 1/6 olur her bir þirket için...";ATM Sayýsý Yetersiz
Koca isaprtada 1 tane ATM var her yerden para cekilemiyor anlasmali ptt ATM ler i hantal eski ve komisyon alýyor;ATM Sayýsý Yetersiz
Adana gibi büyükþehirde parmak sayýsýný geçmiyor bankamatik sayýsý PTT bankamatikleri de  sürekli bozuk;ATM Sayýsý Yetersiz
Van ilindeki tek atm ve onun da tuþlarýna çok sert basmak gerekiyor;ATM Sayýsý Yetersiz
ATM ÜCRET TALEB EDÝLDÝÐÝNDEN;Ücret Alýnmasý
3500 emekli maaþýmý iki seferde çekebiliyorum;Para Çekme Limiti Yetersiz
Atm yavaþ çalýþýyor;Yavaþ
Cogu atmde para olmuyor hafta sonlari;Nakit Bulunmuyor
Günlük limit düþük olduðu için az puan verdim;Para Çekme Limiti Yetersiz
Yeterli ATM yok ATM ye ulaþmak için km lerce yol gidiyoruz PTT matiklerde sýnýrlý sayýda;ATM Sayýsý Yetersiz
Müþteri hizmetleri hemen ulasmak;Çaðrý Merkezi
Yaygýn olmamasý;ATM Sayýsý Yetersiz
Yeterli sayýda ATM yok;ATM Sayýsý Yetersiz
Her  yerde atm.bulunmadýgýndan bir örnek demirtas;ATM Sayýsý Yetersiz
Bulunduðum bölgede sadece bir tane ATM hizmet vermektedir ondan dolayý sýkýntý yaþýyorum;ATM Sayýsý Yetersiz
Atm eksikliði ve Temassýz ödeme;ATM Sayýsý Yetersiz
PTT atemelerýnde para çekme  ücretli oldugu içýn;Ücret Alýnmasý
Ýþlem yaparken çok soru sorulmasý;Aþýrý Güvenlik
Aradýgýmda ilgi sýfýr;Ýlgisizlik
Þehirde sadece bþrtane atm var;ATM Sayýsý Yetersiz
Yatýrdýðimiz parayý onay tuþundandan sonra 3:5 sefer durmadan sayýyor;Kullanýþsýz
Para çekerken her defasýnda iki faktörlü güvenlik olmasý;Aþýrý Güvenlik
Atm leriniz yaygýn deðil,kendi hesabýmdan para çekmek için provizyon ödüyorum;ATM Sayýsý Yetersiz
Anlamsýz þekilde ekran hata veriyordu;Çalýþmýyor - Hata Veriyor
"ATM EKRANI KARIÞIK
PARA ÇEKME LÝMÝTÝ DÜÞÜK";Kullanýþsýz
Atm lerin kullaným ekraný kolay anlaþýlýr ancak daha sýk atm olmasý gerekiyor;Kullanýþsýz
Çok nadir atemeleriniz var.;ATM Sayýsý Yetersiz
Parayý  fazla iade etmesi;Para Yatýrma Problemi
Atm kartýmýn atm tarafýndan birkaç saniye gecikmesi sebebiyle yutulmasý ve içeride bulunan çalýþanlarýndan bu maðduriyetimi gidermemesi;Kartý Yutmasý
Parcekimimizde bizden para kesiliyo birde maaþimizi tam cekemiyoruz;Ücret Alýnmasý
Ptt atm lehinde hizmet sýfýr ya para yok ya da hep bozuk para veriyor;PTT
Düzgün bir þekilde çalýþmýyor cl;Çalýþmýyor - Hata Veriyor
zaman kaybi;Genel Memnuniyetsizlik
Bankamatik kabinlerin olmamasi;ATM Sayýsý Yetersiz
ATM azlýðý sadece banka önlerinde var;ATM Sayýsý Yetersiz
PTT ücret kesiyor ATM de;PTT
PTT atmlerinden para çekme limiti 5000? deðilde 3000? olduðu için.;PTT
ATM sayýsý az.;ATM Sayýsý Yetersiz
Þu an PTT ATM lerinden para çekmek çok sorun oluyor. Mesaj veriyor , bu kart ta çip olmadýðý Ýçin para ödeyemiyoruz deniyor . Bu durum da bizleri hesaplarýmýzý kapatma eðilimine itiyor . Bunu düzeltiniz lütfen….;PTT
2 aydýr parama el konuldu ve hala geri dönüþ alamadým.hiç tavsiye etmiyorum burs hesabý olmasaydý coktan kapatmýþtým;Para Yatýrma Problemi
ATM çok zor çalýþýyor bir iþlemi bir seferde algýlamýyor kartý hemen kapýyor çok zor iþlem yapýyor ve sadece birtane var koca yerde;Çalýþmýyor - Hata Veriyor
Çekeceðim para miktarýný bir kereden vermiyor 2 vaya 3 kereden veriyor;Para Çekme Limiti Yetersiz
Çünkü ATM sayýsý eksik sagdece PTT geçerli;ATM Sayýsý Yetersiz
ATM çok kullanýþlý deðil;Kullanýþsýz
Diðer atm lerin menüleri bukadar donanýmlýyken albaraka zatýf kalýyor. Güzel bi menü olabilir yavaþ ve aðýr;Kullanýþsýz
Türkiye Ana Dili Türkçe'dir ATM de neden ilk baþta arapça sonra Türkçe yazýyor beni rahatsýz ediyor;Genel Memnuniyetsizlik
Kartýmý bazý oyun sitelerinde kullanamýyorum;Kart
Atm sayýnýz çok az ve mobil bankacýlýk sisteminiz çok zor.;ATM Sayýsý Yetersiz
Bankamatik arýza sýk denk geliyor, Birde para çekme iþleminde cep telefonuna SMSvb, gibi seçme isteniyor, telefon sarjý bitmiþse para çekme þansý maalesef yok. Birde her Þube bankamatiðide istemiyor yani standartta yok;Çalýþmýyor - Hata Veriyor
Geri silme iþleminde komple siliniyor.;Kullanýþsýz
Para çekmek için atme bulamýyorum sizin atm niz varmý?;ATM Sayýsý Yetersiz
ATM hizmetiniz yeterli deðil;ATM Sayýsý Yetersiz
Çok fazla emniyet teferruatý var;Aþýrý Güvenlik
Çok bilindik bi banka deðil atm leriniz her yerde yok baþka atmlerden para çekince ücret alýyorlar o yüzden daha çok atm yapýlmalý;ATM Sayýsý Yetersiz
Yasadigimiz ilde bir tane atm var;ATM Sayýsý Yetersiz
Her yerde bulunmuyor zorluk çekiyorum diðer banka atm’lerinden para çekince de kesinti oluyor.;ATM Sayýsý Yetersiz
Yav atm yok kardeþim. Sürekli baþka bankalardan para çekiyoruz. Ankara'da yaþýyorum, atm yok. Atm sayýsýný artýrýn.;ATM Sayýsý Yetersiz
Atm miktarlarý yetersiz. Ptt atmleri para çekiminde masraf alýyor.;ATM Sayýsý Yetersiz
Henüz yeni müþteriniz oldum! Önce ben memnun olmalýyým diye düþünmekteyim.;Genel Memnuniyetsizlik
Albaraka atm her yerde çok fazla yok;ATM Sayýsý Yetersiz
Her yerde yok olmadýðý gibi sürekli hatalar ile karþýlaþýyoruz;ATM Sayýsý Yetersiz
Selam ilk önce 3000 TL den fazla para çekilmiyor bu çok önemli bir sorun diðer bankalar da böyle bir sorun yok;Para Çekme Limiti Yetersiz
Atm bulamýyoruz çok az;ATM Sayýsý Yetersiz
Atm sayýsý oldukça yetersiz, en azýndan þehrin birkaç önemli noktasýnda olmalý.;ATM Sayýsý Yetersiz
ATM.AZ.OLANDA YA BOZUK YADA PARA YOK.PTT.ÝLE ANLAÞMA VARKEN PTT ATM.KULLANIYORDUM ARTIK ODA YOK ARTIK ÜCRET KESÝYOR.HAFTA SONLARI ATM.HEP SIKINTI PARA YOK;ATM Sayýsý Yetersiz
Sisteminiz çok hantal ikinci bir þifreleme saçma;Yavaþ
Hiçbir yerde ATM'si yok ATM olsa para sýkýþýyor;ATM Sayýsý Yetersiz
"Mobil uygulamanýn ara yüzünün diðer bankalarýn uygulamalarýnýn ara yüzüne göre çok karmaþýk olmasý ve gene ATM’lerin diðer bankalara oranlara çok nadir olmasý 

Bir de bir sorun yaþayýnca bankayý aramak ve asla müþteri temsilcisi ile birebir konuþamamak";ATM Sayýsý Yetersiz
Ýþlemler hiç pratik deðil, para göndermek çok müþkülatlý;Kullanýþsýz
PTT ATM’si var sadece;ATM Sayýsý Yetersiz
Hiçbir yerde ATM niz yok;ATM Sayýsý Yetersiz
Atmler ve mobil þube çok yavaþ iþliyor. Atmlerin bir çoðunda qr kod sistemi çalýþmýyor. Qr kod okuyor ama konum bilgisine ulaþýlamadý diye iþlem yapmýyor.;Yavaþ
Sgk ödemesi devlet kurum ödömelerinde eksikler var ve aðýr çalýþýyo biraz;Yavaþ
Atm sayýsý ve anlaþmalý atmler çok az;ATM Sayýsý Yetersiz
Kart ile para çekme limiti yetersiz ve uzun sürüyor;Para Çekme Limiti Yetersiz
Çok az sayýda atm var Adana yüreðir ilçesinde hiç yok;ATM Sayýsý Yetersiz
"Yeterli ateme 
yok";ATM Sayýsý Yetersiz
sadece 3bin tl gün içinde çekmek nedir hemde kendi paramý;Para Çekme Limiti Yetersiz
esenler turgotreis mh lesinde  atm yok;ATM Sayýsý Yetersiz
Bulunduðum ilde tek þubesi ve tek atm si olmasýndan dolayý;ATM Sayýsý Yetersiz
ATM sayýsý çok az ve hangi bankalarýn kesinti yapýp yapmadýðýný bilmiyorum;ATM Sayýsý Yetersiz
ATM sayýnýz çok az yok denecek kadar.Sadece bankalarýnýzýn önünde var.;ATM Sayýsý Yetersiz
Mesafe uzak para çekmek için baya yuruyoz;ATM Sayýsý Yetersiz
Atm sayýsý az ve iþlem þekli alýþýk olduðumuzdan farklý. Her iþlemde güvenlik sorusuyla uðraþmak vakit kaybettiriyor, zaten iþlem sonrasýnda mesaj geliyo. Ya güvenlik kýsmý olmasýn ya mesaj. 100 tl para çekicem bi sürü aþamadan geçmek zorunda kalýyorum ??;ATM Sayýsý Yetersiz
Atm sayýsý çok az;ATM Sayýsý Yetersiz
Para çekme limiti en az 7500 olmalýdýr.;Para Çekme Limiti Yetersiz
Genelde haftasonlarý arýzalý;Çalýþmýyor - Hata Veriyor
Kart çekim limitleri as bir sürü güvenlik önlemi istiyor;Para Çekme Limiti Yetersiz
ATM sayýsý çok az.;ATM Sayýsý Yetersiz
ATM yetersiiði;ATM Sayýsý Yetersiz
Yeterli sayýda olmamasý;ATM Sayýsý Yetersiz
Bi iþlem yapamadim;Çalýþmýyor - Hata Veriyor
Atm den nakit çekiþ yapamýyorum 2 aydýr bozuk;Çalýþmýyor - Hata Veriyor
Cok az atm var trabzonda sadece 2 yerde var merkezde ve otogarda zaten ikisi yakin birde trabzonun giriþine beþirliye bi atm olabilir..;ATM Sayýsý Yetersiz
Hem ATM hemde telefonla uðraþmak zorunda kalýyoruz;Çalýþmýyor - Hata Veriyor
Para çekme alt limiti daha da düþürülsün ve üryan limiti artýrýlsýn;Para Çekme Limiti Yetersiz
Tek bankamatik .bekliyoruz sýra gelecek;ATM Sayýsý Yetersiz
ATM sayýsý yetersiz ve olanlarda bazen sorunlu;ATM Sayýsý Yetersiz
Gereksiz derecede yavaþ;Yavaþ
Ariza veriyor;Çalýþmýyor - Hata Veriyor
ATM yok . Diðer bankalarýn ATM sinden yüksek ücret alýnýyor;ATM Sayýsý Yetersiz
Çok arýza veriyor özellikle RÝZE deki ATM;Çalýþmýyor - Hata Veriyor
Sistem yavaþ ve presüdürü çok, daha sade hizmet verin;Yavaþ
Hesap giriþ ve çýkýþlarda iyi yanlýz kartlý iþlemde kartlarý çabuk yutuyor;Para Yatýrma Problemi
ATM bulamýyorum;ATM Sayýsý Yetersiz
"Oturduðum semt Eyüpsultan, merkezi bir semt, atm noktalarýnda tüm bankalarýn atm lerini bulabiliyorum ancak Albaraka atm yi gömü arar gibi arýyoruz, atm ye gidip 50 lira çekmek için minibüse 7 lira veriyoruz, atm lerin sayý ve konumlarýný arttýrýn lütfen, 1 puan vermemin sebebi; bulamadýðým için daha hiç Albaraka atm kullanamadým, sürekli farklý banka atm si kullanýyorum ve iþlem ücreti ödüyorum";ATM Sayýsý Yetersiz
Çok az sayýda Albaraka atmsi var. Para çekmek için þehir merkezine gitmek gerekiyor.;ATM Sayýsý Yetersiz
Atm ler genelde arýzalý oluyor, daha çok PTT kullanýyoruz;Çalýþmýyor - Hata Veriyor
Atm sayýsý az;ATM Sayýsý Yetersiz
Atm arýzasý sebebi;Çalýþmýyor - Hata Veriyor
Bursa yýldýrým. Selçukbey caddesi atmeniz cok eski atme para yatýrýrken cok zahmetli oluyor  biran önce yenilenmesini talep ediyorum teþekkür ler;Çalýþmýyor - Hata Veriyor
Atm leriniz yeni parayý almýyor eski parayý aninda alýyor para yatirma iþlemlerimizi  giseden yapmak zorunda kaliyoruzyapmak;Para Yatýrma Problemi
Ya para yok ya arýza sorunu veriyor;Çalýþmýyor - Hata Veriyor
Ateme Ler yetersiz sayiolrak;ATM Sayýsý Yetersiz
Çok kötü iþleniyor bence sürekli gereksiz mesajlar atýlýyor atm ye gidiyoruz çoðunlukla atm bozuk oluyor;Çalýþmýyor - Hata Veriyor
Atemeden gram altýn satýn alamadým;Fonksiyon Eksikliði
Atm cihazlarýmýzýn iþlemleri çok yavaþ;Yavaþ
Üç keredir atmden paramý alamýyorum üstelik para hesabýmdan çekilmiþ görünüyo;Çalýþmýyor - Hata Veriyor
Uzun süre bekliyoruz;Yavaþ
Para almýyor kaç sefer verdim;Para Yatýrma Problemi
Daha da iyi olabilir atmleri lütfen coðaltýn;ATM Sayýsý Yetersiz
Bana yakýn ATM den para yatýrýlmýyor. Para yatýrmak için 3 km. Yol yürüyerek þubenize gidip yatýrýyorum. Þubenizinde bu durumdan bilgisi var. Herhangi aksiyon almýyorsunuz. Bu kaçýncý þikayetim. Hizmet bu mu.;Çalýþmýyor - Hata Veriyor
Koz koca büyük þehirde iki ateme var bu yüzden memnun deðilim;ATM Sayýsý Yetersiz
Günlük limitini azdýr;Para Çekme Limiti Yetersiz
Banka tercih olmamalý ama olduðu zaman burasý olsun gibi;Genel Memnuniyetsizlik
Asgari ücretin vs her seyýn yukselmesýnden dolayý bankamatýkte para çekme limiti halen 3 bin tl bunun yükseltilmesini rica edrim;Para Çekme Limiti Yetersiz
Ýlgi alaka zayýf;Kullanýþsýz
0;Genel Memnuniyetsizlik
Aðýr çalýþýyor hantal teknolojiyi geriden takip ediyorsunuz. Kapanan Demetevler þubemizden de memnun deðildim þimdi yeni þubeye gitme imkaný da sýfýr sadece online kullanýyorum sizi;QR
Banka þubeleri yok diyecek kadar az var;ATM Sayýsý Yetersiz
Soru cevapsýz býrakýlamaz;Kullanýþsýz
Atm çok az izmirden kayseriye geldim ara ara zor atm buldum;ATM Sayýsý Yetersiz
Limit;Para Çekme Limiti Yetersiz
Þifre istenmesi ve telefona mesaj gelmesi güzel  düþünülmüþ.;Aþýrý Güvenlik
"Bölgemdeki (Baþakþehir piramit çarþý) ATM’de sýk sýk iþlem yapýlamadýðý mesajý ile karþýlaþýyoruz 
Kuveyt Türk’teki gibi hýzlý para çekme menüsü olabilir";ATM Sayýsý Yetersiz
"Para çekme anýnda zaman israfý var
Yeniden teyit istiyor þifre ile yetinmiyor";Para Çekme Limiti Yetersiz
ATM olayý çok sýkýntýlý. ATM çok az;ATM Sayýsý Yetersiz
Genellikle ATM bozuk oluyor ve tek bir yerde oluyor ATM'nin;ATM Sayýsý Yetersiz
Hýzlý iþleme;Yavaþ
Ýstenilen limitlerin verilmemi iþlerin uzamasý;Para Çekme Limiti Yetersiz
Tek atm si var koca Karaman'da ihtiyaca cevap vermiyor;ATM Sayýsý Yetersiz
Her yerde þubeleri bulunmadýðý için;ATM Sayýsý Yetersiz
Böyle rezalet olmaz;Kullanýþsýz
ATM limiti çok azdýr nazende ücret talep ediyor.;Para Çekme Limiti Yetersiz
Banka daki çalýþanlarýnýz berbat bana sormadan hesabýma müdahale edildi;Genel Memnuniyetsizlik
ATM ler hýzlý ve güzel ama çok az sayýda;ATM Sayýsý Yetersiz
Hiçbir avantajý yok;ATM Sayýsý Yetersiz
Günlük para çekme limiti çok düþük, diðer bankalarda en az günlük para çekme limiti 5.000 TL. arttýrýlmasý gerekir.;Para Çekme Limiti Yetersiz
ATM azlýðý;ATM Sayýsý Yetersiz
Dolar yatýramýyorum;Kullanýþsýz
Bahçelievlerin göbeðinde oturuyorum,atmye gitmek için 30 dk yürüyoruz,kimseye tavsiye etmiyorum çevremdeki,niye ATM arasýnlar uzaklarda;ATM Sayýsý Yetersiz
PTT ATM çoðunlukla bozuk veya para yok( Serdivan);ATM Sayýsý Yetersiz
istedigim para miktarini yatiramadim elimi kapiyordu;Para Yatýrma Problemi
ATM sayýnýz çok az para çekme limitiniz çok düþük en az günlük 10000? olmalý;ATM Sayýsý Yetersiz
Günlük limitiniz az olduðu için. Bunu 5000 e çýkarýn.;Para Çekme Limiti Yetersiz
Sürekli arýzalý;Çalýþmýyor - Hata Veriyor
sakaryada sadece tek bir yerde atm niz var para çekmek için iki dolmuþ deðiþtirip yürüyorum diðer bankamatiklerden çekiyorum artýk onlar da kesinti yapýyor hastaneye yada mavi durak gibi kalabalýk yerlere atm yerleþtirirseniz çok iyi olur;ATM Sayýsý Yetersiz
Ptt matikten Para çekmek istedim iþlem ücreti çýktý.Bir sürü yol yürüyüp Albaraka bankamatiðine gittim.Albaraka islami bankacýlýk için önemli bir marka  sýrf bu yüzden destekliyorum ama bu bankamatik iþi büyük bir problem oluyor.En kýsa sürede yaygýnlaþmasý lazým.Saygýlarýmla baþarýlarýnýzý dilerim.;ATM Sayýsý Yetersiz
Van gibi büyükþehirde.. 1  adet..  bir tane... atm.. olurmu..müþterilerinizi maðdur ..ediyorsunuz,..ptt atm lerinde islem..yapmak..cok zor..paramý yuttu ..45 gün beklemek zorunda kaldým maðdur etti bizi ..atm lerinizi van merkezde coðaltýnýz.....tþk.......;ATM Sayýsý Yetersiz
Her lokasyonda bütün bankalarýn atm si olmasýna raðmen albaraka bulamýyoruz;ATM Sayýsý Yetersiz
Gereksiz güvenlik formaliteleri (para yatýrma aþamasýnda mesaj kontrolu );Aþýrý Güvenlik
Çok fazla login iþleme kapali  deniliyor sistem aðýr iþliyor;Yavaþ
Her zaman ya arýzalý ya parayý kabul etmiyor ve çok yavaþ çalýþýyor ayrýca ptt atmlerinde hemen hergün iþlem yapýyordum sýk sýk sýkýntý yaþadýðým için kullanýmý býraktým baþka bankayý tercih ediyorum;Çalýþmýyor - Hata Veriyor
Postahane ATM’lerinden hiç bir zaman para çekemiyoruz.bu kartla iþlem yapamazsýnýz uyarýsý veriyor ekran. Abidinpaþa PTT ATM’si ve Cebeci PTT atmesinden para çekemeden. Bence bazý PTT ATM’lerinin para çekme yetkisi yok uzun zamandýr bu þekilde çünkü. Albaraka ATM’sinde zaten çok az olduðu için memnuniyetin çok düþük.;ATM Sayýsý Yetersiz
Bankamatik ler belirli yerlerde var;ATM Sayýsý Yetersiz
"Limit az her yerde ATM biz yok 

Bazý bankalar ücret kesiyor";ATM Sayýsý Yetersiz
Çok soru soruyor;Aþýrý Güvenlik
Atm den para yaptýrýrken çok zorlanýyoruz makinelerini sýkýntýlý;Kullanýþsýz
Çok yavaþ;Yavaþ
Bulunduðum ilçede atm yok;ATM Sayýsý Yetersiz
252.000 nüfuslu Karaköprü ilçesinde 1 ATM cihazý yok, hizmet alamýyoruz, siz olsanýz kaç puan verirdiniz???;ATM Sayýsý Yetersiz
ATM den günlük para çekme limiti az;Para Çekme Limiti Yetersiz
Akçaabata hiç yok ATM niz;ATM Sayýsý Yetersiz
Mobil bankacýlýk biraz daha geliþebilir :);Kullanýþsýz
Makinalar güzelde sayýsý az makinaya verdim;ATM Sayýsý Yetersiz
ATM yavaþ;Yavaþ
Atm aðý çok düþük;ATM Sayýsý Yetersiz
Promlemli bir atm niz var;ATM Sayýsý Yetersiz
Bankanýzdan memnun deðilim bir çok banka daha iyi;Genel Memnuniyetsizlik
ATM ler banka haricinde hiç bir yerde yok;ATM Sayýsý Yetersiz
Olduðun ilçede alBaraka atmsi yok bu sebeple devamlý problem çýkaran PTT atmsi ile uðraþmak durumundayým ve bu durumdan hiç memnun deðilim. Mardin/Midyat'tan bahsediyorum.;Çalýþmýyor - Hata Veriyor
Nakit çekimde 3.000 tl çok az para veriyor;Para Çekme Limiti Yetersiz
Ýþ görmüyor;Kullanýþsýz
Tek sefer çekiminin 3000 tl ile sýnýrlý oluþu...;Para Çekme Limiti Yetersiz
3000 TL LÝMÝT ÇOK DÜÞÜK;Para Çekme Limiti Yetersiz
Memnuniyetin için;ATM Sayýsý Yetersiz
Süreli anket hatýrlatan sms.;Kullanýþsýz
"Çok zor okuma yazma bilmeyen insanlar için cep telefonu la kuer kodla yok konum istiyor  açýyorsun yine sistem vermiyor  cep þubeden çok zor oluyor bence biliþim uzmaný gibi ugrastiriyor diðer bankalarýný basit ve kolay
Birde kartla 3 bin TL den fazla çekmiyoruz limit düþük dikkate alýrsanýz sevinirim iyi çalýþmalar";Para Çekme Limiti Yetersiz
Yetersiz yazýlým hizmetler de eksiklik;ATM Sayýsý Yetersiz
ATM niz yok. Denecek kadar az .kimse memnun deðil...;ATM Sayýsý Yetersiz
Kartým baþka ATM lerce iþlem  görüyor ama kendi ATM sinde para  çekemiyorum sorun oluyor;ATM Sayýsý Yetersiz
Atm leriniz cok az sayida;ATM Sayýsý Yetersiz
Çayýrova da atm niz varmýki memnuniye anketi doldurayým;ATM Sayýsý Yetersiz
Kartým ve þifrem olduðu halde sürekli telefonuma saçma þekilde kod geldi telefon olmaya bilirdi de tanýmda;Aþýrý Güvenlik
"Ptt atm si çok az noktada var albaraka atm si nerdeyse hiç yok
Acil nakit ihtiyacý olunca zor durumda kalýyorum";ATM Sayýsý Yetersiz
Atm leriniz zaten yok ki puan vereyim.;ATM Sayýsý Yetersiz
Postaneden her zaman cekemiyorum albaraka seyranda yok;ATM Sayýsý Yetersiz
Küçük miktarda para çekme iþlemi bile bir sürü þifre istiyor bunu yüksek meblað çekmelerde istense daha mantýklý;Aþýrý Güvenlik
çok az atm var;ATM Sayýsý Yetersiz
Hiçbir 200Tl yi kabul ettiremiyoruz. Sürekli hata veriyor;Çalýþmýyor - Hata Veriyor
Atm lerde bazen para olmuyor;ATM Sayýsý Yetersiz
Politalar gereði olumlu bulmuyorum size puan vermeyi;ATM Sayýsý Yetersiz
ATM para yatýrma ünitesi kullanýþsýz;Çalýþmýyor - Hata Veriyor
Çalýþmýyor hep arýzalý;Çalýþmýyor - Hata Veriyor
Atemeler 200 tl lik paralarý atamýyoruz;Çalýþmýyor - Hata Veriyor
Para çekme limiti çok düþük ayrýca yeterli sayýda ATM bulunmuyor;Para Çekme Limiti Yetersiz
Þube yok beþbin lirayý bile iki seferde çekebiliyoruz..;ATM Sayýsý Yetersiz
ATM aðý çok az;ATM Sayýsý Yetersiz
01/01/2023 .biraz para yatýrmak istedim 200 lirayý yatýrmak için 5 dakika uðraþtým sonra diðer ATM den yatýra bildim( 600 liraydý );ATM Sayýsý Yetersiz
Atm lerin ve bankanýn kendini yenilemesi lazým;ATM Sayýsý Yetersiz
ATM sayýsý az olmasýndan dolayý;ATM Sayýsý Yetersiz
Nakit çekimde sýkýntý;Para Çekme Limiti Yetersiz
ATM bulamadýðým için þimdi Yapý kredi ile yaptýðýnýz anlaþmayý duydum daha deneme imkaným olmadý deneyeceðim ve fikrim deðiþebilir;ATM Sayýsý Yetersiz
ATM bulmak zor;ATM Sayýsý Yetersiz
Güven;Genel Memnuniyetsizlik
Benim þikayetim Banka mesaj gönderiyor fatura ödenmiþtir diye fakat ne kadar para kaldýðýný da belirtse çok iyi olur;ATM Sayýsý Yetersiz
Konyada yeterince atm yok birde sabah 9 dan önce para çekemiyorsunuz;ATM Sayýsý Yetersiz
Çok uðraþtýrýyor bizi;Kullanýþsýz
Bulunduðum yerde ATM niz yok. Ptt den 1000 lira üzeri çektýðýmýzda kesinti oluyor  . Limiti yükseltmesini bekliyoruz...;ATM Sayýsý Yetersiz
Sistem yavaa iþliyor;Yavaþ
3 bin tl veriyorsunuz bu ne iþe yarayacak para ekmek mý alacaðýz;Para Çekme Limiti Yetersiz
Daha önce ptt bankamatikten iþlem yapýyorduk. Þimdi hem bankamatik kabul etmiyor hemde kabul etse bile iþlem ücreti kesiyor. Bulunduðumuz yerde albaraka yok.;ATM Sayýsý Yetersiz
Maasimi sizden aliyorum ve kredi karti basvurumu olumsuz yanitliyorsunuz kredi notum 1500 uzerinde olmasina rahmen;Para Yatýrma Problemi
Atm ler çok aðýr iþlem yapýyor mobil bankacýlýk güzel;ATM Sayýsý Yetersiz
Zonguldak Merkez'de albaraka'nýn Bizzat kendi ATM'si olmadýðýndan 0 verdim;ATM Sayýsý Yetersiz
Sisteme giriþ yapmak için okadar çok þifre koymamýz gerekiyorki anlatamam her yerde ATM si yok ödemeler çok saçma yönlendirmeyle yapýlýyor müþteri hizmetlerini aradýðýmda tel hemen kapatmak için cvp veriyor tekrar sorduðumuz zaman of layarak dinliyorlar.;Ücret Alýnmasý
ATM'lerinizle ilgili þöyle bir problem yaþýyorum. QR Kod ile para çekmek istediðimde ATM'lerinizin ekranlarý çok parlama yapýyor ve telefondan QR kodu okumasý çok zor oluyor. Ancak þekilden þekile girerek elle yada kitap gibi bir nesne ile ekrana gelen yansýmayý önlemeye çalýþýyoruz. QR ile para çekemede ATM'leriniz maalesef çok baþarýlý deðil. Ama bazý önde gelen bankalarýn ATM'leri oldukça baþarýlý. Ekranlarý hiç yansýma yapmýyor ve QR kodu hýzlýca okuyor.;QR
Her nakit çektiðim de bir soru cevaplýyorum belki güvenli ama çok uzun sürüyor;Para Çekme Limiti Yetersiz
Bulunduðum yerde ATM biz yoktur;ATM Sayýsý Yetersiz
Þubede düþük bütçeli kredi kartý talebinde bulundum reddetti personeliniz;Para Çekme Limiti Yetersiz
Kötüsünüz;Çalýþmýyor - Hata Veriyor
Hiç bir yerde ATM niz yok (Küçükçekmece kanaryada oturuyorum);ATM Sayýsý Yetersiz
Ýyi;Genel Memnuniyetsizlik
Yeteri kadar ATM bulunmamasý;ATM Sayýsý Yetersiz
ATM nin olduðu yerler dqha çok aydýnlatýlmasý;ATM Sayýsý Yetersiz
Her yerde yok;ATM Sayýsý Yetersiz
Para  çekerken doðum gün yada dayýnýn soyadýn ilk 2. Si vesayire vesaire;Genel Memnuniyetsizlik
